image,config,clickBudget,shapes,toolChanges,sizeChanges,colorChanges,alphaChanges,clicks,unsortedClicks,groupBoundaryChanges,rmse,ssim,deltaE00,genSeconds,paintMinutesAt30cps
skyline,exactRank,18000,13214,4752,863,3159,730,18000,39172,22,0.022766,0.92505,2.9241,135.5,10.00
skyline,alphaFloor2,18000,14678,3287,609,2267,411,18000,37584,22,0.027357,0.90866,4.3319,64.8,10.00
skyline,seedB,18000,12944,5023,886,3365,772,18000,38673,25,0.023413,0.92300,2.9925,57.7,10.00
mosaic,default,18000,10572,7396,1060,5378,958,17999,33530,22,0.051011,0.74064,4.7314,34.0,10.00
mosaic,default,3000,1260,1718,351,1030,337,3000,4293,2,0.090988,0.59170,7.1879,0.0,1.67
mosaic,default,6000,2863,3114,546,2049,519,6000,9630,5,0.076803,0.63901,6.2095,0.0,3.33
mosaic,default,9000,4661,4313,706,2947,660,8999,15495,9,0.066997,0.67790,5.6526,0.0,5.00
mosaic,default,12000,6550,5423,848,3797,778,12000,21527,15,0.060101,0.70415,5.2613,0.0,6.67
mosaic,default,15000,8531,6440,959,4603,878,15000,27602,19,0.054785,0.72616,4.9471,0.0,8.33
mosaic,prune,18000,10645,7258,976,5373,909,17934,33618,20,0.049839,0.74090,4.6189,5.1,9.96
mosaic,noAdaptive,18000,10851,7118,997,5179,942,18000,34080,21,0.048350,0.75323,4.5795,16.5,10.00
mosaic,noErrGuided,18000,10481,7487,1066,5483,938,17999,33298,23,0.051852,0.73883,4.7548,35.9,10.00
mosaic,singleAlpha,18000,12968,4999,726,4273,0,18000,32368,22,0.056751,0.73956,5.9519,46.7,10.00
mosaic,opaque,18000,10850,7119,2246,4873,0,18000,29537,20,0.112612,0.76808,13.0476,36.3,10.00
mosaic,alphaFloor0,18000,9042,8927,1544,5919,1464,17999,30396,24,0.056634,0.71903,4.5631,36.4,10.00
mosaic,fastGen,18000,10405,7564,1081,5536,947,18000,33045,23,0.054427,0.72644,4.9029,17.8,10.00
